"","cricketer_name","cricket_team","ratings"
"1","Marnus Labuschagne","
                        
                        AUS
                    ","912"
"2","Steve Smith","AUS","875"
"3","Babar Azam","PAK","862"
"4","Travis Head","AUS","826"
"5","Joe Root","ENG","814"
"6","Rishabh Pant","IND","781"
"7","Rohit Sharma","IND","777"
"8","Kane Williamson","NZ","769"
"9","Dimuth Karunaratne","SL","748"
"10","Usman Khawaja","AUS","746"
"11","Tom Blundell","NZ","731"
"12","Daryl Mitchell","NZ","730"
"13","Litton Das","BAN","702"
"14","Jonny Bairstow","ENG","690"
"15","Dinesh Chandimal","SL","673"
"16","Virat Kohli","IND","665"
"17","Devon Conway","NZ","659"
"18","Angelo Mathews","SL","654"
"19","Kraigg Brathwaite","WI","647"
"20","David Warner","AUS","642"
"21","Temba Bavuma","SA","640"
"22","Mushfiqur Rahim","BAN","639"
"23","Ollie Pope","ENG","631"
"24","Tom Latham","NZ","630"
"25","Cheteshwar Pujara","IND","624"
"26","Ben Stokes","ENG","622"
"27","Shreyas Iyer","IND","621"
"28","Mayank Agarwal","IND","618"
"29","Saud Shakeel","PAK","614"
"30","Imam-ul-Haq","PAK","614"
"31","Harry Brook","ENG","607"
"32","Mohammad Rizwan","PAK","604"
"33","Ravindra Jadeja","IND","603"
"34","Dean Elgar","SA","596"
"35","Alex Carey","AUS","575"
"36","Dhananjaya de Silva","SL","570"
"37","Shakib Al Hasan","BAN","570"
"38","Ben Duckett","ENG","569"
"39","Cameron Green","AUS","566"
"40","Tamim Iqbal","BAN","561"
"41","Ajinkya Rahane","IND","555"
"42","Craig Ervine","ZIM","555"
"43","Henry Nicholls","NZ","554"
"44","Keegan Petersen","SA","552"
"45","Abdullah Shafique","PAK","549"
"46","Niroshan Dickwella","SL","534"
"47","Jermaine Blackwood","WI","532"
"48","Kyle Verreynne","SA","528"
"49","Sarfaraz Ahmed","PAK","524"
"50","Kusal Mendis","SL","516"
"51","Nkruma Bonner","WI","512"
"52","Ben Foakes","ENG","512"
"53","Fawad Alam","PAK","510"
"54","Rassie van der Dussen","SA","507"
"55","Zak Crawley","ENG","506"
"56","Aiden Markram","SA","506"
"57","Oshada Fernando","SL","500"
"58","Lokesh Rahul","IND","493"
"59","Tagenarine Chanderpaul","WI","492"
"60","Shubman Gill","IND","486"
"61","Akshar Patel","IND","481"
"62","Hanuma Vihari","IND","481"
"63","Rory Burns","ENG","480"
"64","Mominul Haque","BAN","476"
"65","Kyle Mayers","WI","472"
"66","Pathum Nissanka","SL","461"
"67","null","BAN","461"
"68","Joshua Da Silva","WI","454"
"69","Jos Buttler","ENG","448"
"70","Sarel Erwee","SA","441"
"71","Ravichandran Ashwin","IND","436"
"72","Jason Holder","WI","429"
"73","Alex Lees","ENG","428"
"74","Gary Ballance","ZIM","427"
"75","Shan Masood","PAK","423"
"76","John Campbell","WI","422"
"77","Nazmul Shanto","BAN","422"
"78","Lahiru Thirimanne","SL","419"
"79","Agha Salman","PAK","409"
"80","Kamindu Mendis","SL","396"
"81","Innocent Kaia","ZIM","394"
"82","Faheem Ashraf","PAK","393"
"83","Roston Chase","WI","393"
"84","Nurul Hasan","BAN","388"
"85","Jamie Overton","ENG","386"
"86","Chris Woakes","ENG","382"
"87","Dawid Malan","ENG","380"
"88","Will Young","NZ","375"
"89","Marcus Harris","AUS","371"
"90","Dan Lawrence","ENG","363"
"91","Mitchell Starc","AUS","361"
"92","Mahmudul Hasan Joy","BAN","346"
"93","Peter Handscomb","AUS","338"
"94","Marco Jansen","SA","334"
"95","Shamarh Brooks","WI","332"
"96","Keshav Maharaj","SA","319"
"97","Khaya Zondo","SA","288"
"98","Donald Tiripano","ZIM","283"
"99","Mehedi Hasan","BAN","283"
"100","Shardul Thakur","IND","280"
